Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM1358	aroD STM1358		STM1358	99287
STM0158	acnB STM0158		STM0158	99287
STM0433	yajL STM0433		STM0433	99287
STM4185	aceK STM4185		STM4185	99287
STM3952	corA STM3952 STMD1.38		STM3952	99287
STM1917	cheB STM1917		STM1917	99287
STM2016	cobT STM2016		STM2016	99287
STM0368	prpB STM0368		STM0368	99287
STM0369	prpC STM0369		STM0369	99287
STM2072	hisD STM2072		STM2072	99287
STM3244	tdcB STM3244		STM3244	99287
STM1631	sseJ STM1631		STM1631	99287
STM1124	putA STM1124		STM1124	99287
STM2096	rfbD rmlD STM2096	rmlD	STM2096	99287
STM0928	nanH STM0928		STM0928	99287
PSLT038	spvC mkaD vsdD PSLT038	mkaD vsdD	PSLT038	99287
STM2094	rfbC rmlC STM2094	rmlC	STM2094	99287
STM1751	hns hnsA osmZ STM1751	hnsA osmZ	STM1751	99287
STM0800	slrP STM0800		STM0800	99287
STM3733	pyrE STM3733		STM3733	99287
STM2241	sspH2 STM2241		STM2241	99287
STM1723	trpE STM1723		STM1723	99287
STM3697	STM3697		STM3697	99287
STM1230	phoQ phoZ STM1230	phoZ	STM1230	99287
STM1780	prs prsA STM1780	prsA	STM1780	99287
STM2058	pduX STM2058		STM2058	99287
STM1515	ydeI STM1515		STM1515	99287
STM2317	nuoM STM2317		STM2317	99287
STM1392	ssrA STM1392		STM1392	99287
STM3293	secG STM3293		STM3293	99287
STM2962	gudT STM2962		STM2962	99287
STM2996	recC STM2996		STM2996	99287
STM3826	torS STM3826		STM3826	99287
STM3762	cigR STM3762		STM3762	99287
STM1952	yecS STM1952		STM1952	99287
STM1041	STM1041		STM1041	99287
STM0149	STM0149		STM0149	99287
STM3152	STM3152		STM3152	99287
STM2217	yejB STM2217		STM2217	99287
STM0389	yaiA STM0389		STM0389	99287
STM2364	dedD STM2364		STM2364	99287
STM2958	barA STM2958		STM2958	99287
STM0664	gltJ STM0664		STM0664	99287
STM0570	apeE STM0570		STM0570	99287
STM0782	modB STM0782		STM0782	99287
STM2971	sdaB STM2971		STM2971	99287
STM1405	sseG STM1405		STM1405	99287
STM2167	dld STM2167		STM2167	99287
STM1185	rne STM1185		STM1185	99287
STM1728	yciG STM1728		STM1728	99287
STM2283	glpT STM2283		STM2283	99287
STM4192	STM4192		STM4192	99287
STM1330	STM1330		STM1330	99287
STM3827	dgoT STM3827		STM3827	99287
STM1545	STM1545		STM1545	99287
STM1544	pqaA STM1544		STM1544	99287
STM0889	artQ STM0889		STM0889	99287
STM1028	STM1028		STM1028	99287
STM2480	narQ STM2480		STM2480	99287
STM3341	sspB STM3341		STM3341	99287
STM1107	hpaX STM1107		STM1107	99287
STM3091	galP STM3091		STM3091	99287
STM3134	STM3134		STM3134	99287
STM2648	yfiF STM2648		STM2648	99287
STM2442	cysW STM2442		STM2442	99287
STM0356	STM0356		STM0356	99287
STM4434	STM4434		STM4434	99287
STM3977	rfaH STM3977		STM3977	99287
STM3975	tatC STM3975		STM3975	99287
STM3954	yigG STM3954		STM3954	99287
STM3936	hemX STM3936		STM3936	99287
STM4161	STMF1.36 STM4161		STM4161	99287
STM4157	STMF1.17 STM4157		STM4157	99287
STM3950	yigB STM3950		STM3950	99287
STM2249 STM3814	ccmF STM2249 STM3814		STM2249 STM3814	99287
STM3902	ilvM STM3902		STM3902	99287
STM1315	celD STM1315		STM1315	99287
STM3157	yghA STM3157		STM3157	99287
STM3077	yggG STM3077		STM3077	99287
STM1760	STM1760		STM1760	99287
STM3875	mioC STM3875		STM3875	99287
STM0723	STM0723		STM0723	99287
STM2180	STM2180		STM2180	99287
STM1514	ydeJ STM1514		STM1514	99287
